"engineid","manifacturer","engine_serial_number","position_on_iarcraft","installation_date"
"ENG-0001","International Aero Engines","ESN-500001","left","2020-03-08"
"ENG-0002","International Aero Engines","ESN-500002","right","2020-03-08"
"ENG-0003","International Aero Engines","ESN-500003","left","2009-09-23"
"ENG-0004","International Aero Engines","ESN-500004","right","2009-09-23"
"ENG-0005","CFM International","ESN-500005","left","2017-10-01"
"ENG-0006","CFM International","ESN-500006","right","2017-10-01"
"ENG-0007","International Aero Engines","ESN-500007","left","2011-10-09"
"ENG-0008","International Aero Engines","ESN-500008","right","2011-10-09"
"ENG-0009","International Aero Engines","ESN-500009","left","2008-05-08"
"ENG-0010","International Aero Engines","ESN-500010","right","2008-05-08"
"ENG-0011","CFM International","ESN-500011","left","2021-01-01"
"ENG-0012","CFM International","ESN-500012","right","2021-01-01"
"ENG-0013","International Aero Engines","ESN-500013","left","2010-06-23"
"ENG-0014","International Aero Engines","ESN-500014","right","2010-06-23"
"ENG-0015","CFM International","ESN-500015","left","2019-02-03"
"ENG-0016","CFM International","ESN-500016","right","2019-02-03"
"ENG-0017","International Aero Engines","ESN-500017","left","2018-09-09"
"ENG-0018","International Aero Engines","ESN-500018","right","2018-09-09"
"ENG-0019","CFM International","ESN-500019","left","2011-08-12"
"ENG-0020","CFM International","ESN-500020","right","2011-08-12"
"ENG-0021","International Aero Engines","ESN-500021","left","2021-11-07"
"ENG-0022","International Aero Engines","ESN-500022","right","2021-11-07"
"ENG-0023","CFM International","ESN-500023","left","2011-12-28"
"ENG-0024","CFM International","ESN-500024","right","2011-12-28"
"ENG-0025","CFM International","ESN-500025","left","2014-11-13"
"ENG-0026","CFM International","ESN-500026","right","2014-11-13"
"ENG-0027","CFM International","ESN-500027","left","2023-09-12"
"ENG-0028","CFM International","ESN-500028","right","2023-09-12"
"ENG-0029","CFM International","ESN-500029","left","2023-10-21"
"ENG-0030","CFM International","ESN-500030","right","2023-10-21"
"ENG-0031","CFM International","ESN-500031","left","2021-08-03"
"ENG-0032","CFM International","ESN-500032","right","2021-08-03"
"ENG-0033","CFM International","ESN-500033","left","2017-03-18"
"ENG-0034","CFM International","ESN-500034","right","2017-03-18"
"ENG-0035","CFM International","ESN-500035","left","2017-03-27"
"ENG-0036","CFM International","ESN-500036","right","2017-03-27"
"ENG-0037","International Aero Engines","ESN-500037","left","2015-10-19"
"ENG-0038","International Aero Engines","ESN-500038","right","2015-10-19"
"ENG-0039","CFM International","ESN-500039","left","2009-06-25"
"ENG-0040","CFM International","ESN-500040","right","2009-06-25"
"ENG-0041","International Aero Engines","ESN-500041","left","2018-08-28"
"ENG-0042","International Aero Engines","ESN-500042","right","2018-08-28"
"ENG-0043","CFM International","ESN-500043","left","2013-03-17"
"ENG-0044","CFM International","ESN-500044","right","2013-03-17"
"ENG-0045","International Aero Engines","ESN-500045","left","2008-07-10"
"ENG-0046","International Aero Engines","ESN-500046","right","2008-07-10"
"ENG-0047","International Aero Engines","ESN-500047","left","2021-05-18"
"ENG-0048","International Aero Engines","ESN-500048","right","2021-05-18"
"ENG-0049","CFM International","ESN-500049","left","2019-03-09"
"ENG-0050","CFM International","ESN-500050","right","2019-03-09"
"ENG-0051","CFM International","ESN-500051","left","2008-05-12"
"ENG-0052","CFM International","ESN-500052","right","2008-05-12"
"ENG-0053","International Aero Engines","ESN-500053","left","2009-03-23"
"ENG-0054","International Aero Engines","ESN-500054","right","2009-03-23"
"ENG-0055","CFM International","ESN-500055","left","2016-04-02"
"ENG-0056","CFM International","ESN-500056","right","2016-04-02"
"ENG-0057","International Aero Engines","ESN-500057","left","2008-08-01"
"ENG-0058","International Aero Engines","ESN-500058","right","2008-08-01"
"ENG-0059","CFM International","ESN-500059","left","2008-01-19"
"ENG-0060","CFM International","ESN-500060","right","2008-01-19"
"ENG-0061","CFM International","ESN-500061","left","2021-10-24"
"ENG-0062","CFM International","ESN-500062","right","2021-10-24"
"ENG-0063","CFM International","ESN-500063","left","2020-10-13"
"ENG-0064","CFM International","ESN-500064","right","2020-10-13"
"ENG-0065","CFM International","ESN-500065","left","2013-11-11"
"ENG-0066","CFM International","ESN-500066","right","2013-11-11"
"ENG-0067","CFM International","ESN-500067","left","2010-03-21"
"ENG-0068","CFM International","ESN-500068","right","2010-03-21"
"ENG-0069","CFM International","ESN-500069","left","2017-07-02"
