location_1,location_2,distance,transfer_time,transfer_cost
AMS,BCN,1240.2,4,1050.15
AMS,CDG,397.8,1,418.35
AMS,FRA,365.9,1,394.42
AMS,LGW,364.5,1,393.38
AMS,LHR,370.1,1,397.58
AMS,MAD,1459.8,4,1214.85
AMS,MUC,663.5,2,617.62
AMS,ORY,431.9,2,443.92
BCN,AMS,1240.2,4,1050.15
BCN,CDG,858.4,3,763.80
BCN,FRA,1093.6,3,940.20
BCN,LGW,1109.1,3,951.82
BCN,LHR,1148.5,3,981.38
BCN,MAD,482.8,2,482.10
BCN,MUC,1094.7,3,941.03
BCN,ORY,826.1,3,739.58
CDG,AMS,397.8,1,418.35
CDG,BCN,858.4,3,763.80
CDG,FRA,449.3,2,456.98
CDG,LGW,307.7,1,350.78
CDG,LHR,347.9,1,380.92
CDG,MAD,1064.0,3,918.00
CDG,MUC,681.7,2,631.28
CDG,ORY,34.1,1,145.57
FRA,AMS,365.9,1,394.42
FRA,BCN,1093.6,3,940.20
FRA,CDG,449.3,2,456.98
FRA,LGW,630.3,2,592.72
FRA,LHR,654.9,2,611.17
FRA,MAD,1421.9,4,1186.43
FRA,MUC,299.1,1,344.33
FRA,ORY,471.1,2,473.33
LGW,AMS,364.5,1,393.38
LGW,BCN,1109.1,3,951.82
LGW,CDG,307.7,1,350.78
LGW,FRA,630.3,2,592.72
LGW,LHR,41.2,1,150.90
LGW,MAD,1215.2,4,1031.40
LGW,MUC,913.5,3,805.12
LGW,ORY,326.3,1,364.72
LHR,AMS,370.1,1,397.58
LHR,BCN,1148.5,3,981.38
LHR,CDG,347.9,1,380.92
LHR,FRA,654.9,2,611.17
LHR,LGW,41.2,1,150.90
LHR,MAD,1246.6,4,1054.95
LHR,MUC,941.8,3,826.35
LHR,ORY,367.1,1,395.33
MAD,AMS,1459.8,4,1214.85
MAD,BCN,482.8,2,482.10
MAD,CDG,1064.0,3,918.00
MAD,FRA,1421.9,4,1186.43
MAD,LGW,1215.2,4,1031.40
MAD,LHR,1246.6,4,1054.95
MAD,MUC,1496.8,4,1242.60
MAD,ORY,1030.2,3,892.65
MUC,AMS,663.5,2,617.62
MUC,BCN,1094.7,3,941.03
MUC,CDG,681.7,2,631.28
MUC,FRA,299.1,1,344.33
MUC,LGW,913.5,3,805.12
MUC,LHR,941.8,3,826.35
MUC,MAD,1496.8,4,1242.60
MUC,ORY,693.3,2,639.97
ORY,AMS,431.9,2,443.92
ORY,BCN,826.1,3,739.58
ORY,CDG,34.1,1,145.57
ORY,FRA,471.1,2,473.33
ORY,LGW,326.3,1,364.72
ORY,LHR,367.1,1,395.33
ORY,MAD,1030.2,3,892.65
ORY,MUC,693.3,2,639.97
