part_number,location,on_hand,reserved,min_stock
SP-ENG-0001,LHR,6,2,3
SP-ENG-0001,FRA,4,1,2
SP-ENG-0001,CDG,3,1,2
SP-ENG-0002,FRA,5,1,3
SP-ENG-0002,MUC,4,1,2
SP-ENG-0002,AMS,3,0,2
SP-ENG-0003,LHR,8,2,4
SP-ENG-0003,CDG,5,1,3
SP-ENG-0003,ORY,4,1,2
SP-ENG-0004,LHR,15,3,8
SP-ENG-0004,LGW,10,2,5
SP-ENG-0004,MAD,9,1,5
SP-ENG-0005,FRA,3,1,2
SP-ENG-0005,LHR,2,1,1
SP-ENG-0005,CDG,2,0,1
SP-ENG-0006,AMS,12,3,6
SP-ENG-0006,BCN,9,2,5
SP-ENG-0006,MUC,8,2,4
SP-ENG-0007,MAD,6,1,3
SP-ENG-0007,BCN,5,1,3
SP-ENG-0007,ORY,4,1,2
SP-ENG-0008,FRA,14,4,7
SP-ENG-0008,MUC,10,2,5
SP-ENG-0008,AMS,9,2,5
SP-ENG-0009,LHR,5,2,3
SP-ENG-0009,LGW,4,1,2
SP-ENG-0009,CDG,4,1,2
SP-ENG-0010,FRA,7,2,4
SP-ENG-0010,MUC,6,1,3
SP-ENG-0010,MAD,5,1,3
